L'Apéritif;LES PAINS SURPRISES;LE CARRÉ GOURMAND - 40 toasts;15,9
L'Apéritif;LES PAINS SURPRISES;PAIN SURPRISE MAISON - 40 toasts;22,9
L'Apéritif;LES PAINS SURPRISES;PAIN SURPRISE CHARCUTIER - 50 toasts;16,9
L'Apéritif;LES PAINS SURPRISES;PAIN SURPRISE TRAITEUR -60 toasts;21,9
L'Apéritif;LES PAINS SURPRISES;PAIN SURPRISE MARIN - 40 toasts;13,9
L'Apéritif;LES CANAPÉS;48 CANAPÉS RÉGION DE France;14,9
L'Apéritif;LES CANAPÉS;CANAPE MAISON (pièce);0,4
L'Apéritif;LES CANAPÉS;NAVETTES ASSORTIES (pièce);0,56
L'Apéritif;LES CANAPÉS;40 CANAPÉS MARIN;14,9
L'Apéritif;LES CANAPÉS;35 CANAPÉS ÉLÉGANCE;17,9
L'Apéritif;LES CANAPÉS;40 CANAPÉS TRAITEUR;14,9
L'Apéritif;LES SPÉCIALITÉS DU SUD;TAPAS MINI-BROCHETTES Poulet grillé au citron;7,9
L'Apéritif;LES SPÉCIALITÉS DU SUD;TAPAS MINI-BROCHETTES Curry;7,9
L'Apéritif;LES SPÉCIALITÉS DU SUD;COFFRET ANTIPASTI;10,95
L'Apéritif;LES SPÉCIALITÉS DU SUD;FUET D'OLOT EXTRA TRANCHÉE;5,9
L'Apéritif;LES SPÉCIALITÉS DU SUD;TAPAS : CHORICITOS PIQUANT;5,9
L'Apéritif;LES SPÉCIALITÉS DU SUD;TAPAS : BOUDIN AU RIZ;5,9
L'Apéritif;LES SPÉCIALITÉS DU SUD;OLIVES DÉNOYAUTÉES : MERIDIONALES;1,99
L'Apéritif;LES SPÉCIALITÉS DU SUD;OLIVES DÉNOYAUTÉES : BASILIC;1,99
L'Apéritif;LES SPÉCIALITÉS DU SUD;CANITAS : FUET D'OLOT EXTRA;5,9
L'Apéritif;LES SPÉCIALITÉS DU SUD;CANITAS : CHORIZO;5,9
L'Apéritif;LES SPÉCIALITÉS D ASIE;16 MINI-NEMS COCKTAIL + SAUCE NUOC MAM : CREVETTE/CRABE;2,9
L'Apéritif;LES SPÉCIALITÉS D ASIE;16 MINI-NEMS COCKTAIL + SAUCE NUOC MAM : PORC;2,9
L'Apéritif;LES SPÉCIALITÉS D ASIE;8 YAKITORIS;3,9
L'Apéritif;LES SPÉCIALITÉS D ASIE;COCKTAIL APÉRITIF;10,9
L'Apéritif;LES SPÉCIALITÉS D ASIE;ASSORTIMENTS MAKIS MAISON - 30 pièces;19,87
L'Apéritif;LES TENDANCES;PLATEAU DE MUFFINS - 20 pièces;9,9
L'Apéritif;LES TENDANCES;MINI-BAGELS -12 pièces;10,9
L'Apéritif;LES TENDANCES;MINI-BURGERS -12 pièces;11,9
L'Apéritif;LES TENDANCES;MINI-CANNELÉS - 25 pièces;7,9
L'Apéritif;LES MISES EN BOUCHE CHAUDES;PRÉFOU - CHÈVRE;3,9
L'Apéritif;LES MISES EN BOUCHE CHAUDES;PRÉFOU - TOMATES BASILIC;3,9
L'Apéritif;LES MISES EN BOUCHE CHAUDES;PRÉFOU - CHORIZO;3,9
L'Apéritif;LES MISES EN BOUCHE CHAUDES;PRÉFOU - AIL;3,9
L'Apéritif;LES MISES EN BOUCHE CHAUDES;MINI-FEUILLETÉS ESCARGOTS -16 pièces;3,9
L'Apéritif;LES MISES EN BOUCHE CHAUDES;PLATEAU PRÉFOU + BRUSCHETTA;11,45
L'Apéritif;LES MISES EN BOUCHE CHAUDES;QUICHE LORRAINE - 30 pièces;5,5
L'Apéritif;LES MISES EN BOUCHE CHAUDES;PIZZA JAMBON/FROMAGE - 30 pièces;5,5
L'Apéritif;LES MISES EN BOUCHE CHAUDES;CAKE - Courgette/chèvre;2,1
L'Apéritif;LES MISES EN BOUCHE CHAUDES;CAKE - Saumon;2,1
L'Apéritif;LES MISES EN BOUCHE CHAUDES;CAKE - Jambon/olives;2,1
L'Apéritif;LES MISES EN BOUCHE CHAUDES;PETITS FOURS CLASSIQUES - 24 pièces;9,9
